,Year,Age Group,Value
197,1997,35-39,110230.0
198,1997,<15,9810.0
199,1997,>40,34820.0
200,1998,15-17,96290.0
201,1998,18-19,156280.0
202,1998,20-24,418300.0
203,1998,25-29,309060.0
204,1998,30-34,183330.0
205,1998,35-39,110160.0
206,1998,<15,9530.0
207,1998,>40,36040.0
208,1999,15-17,89840.0
209,1999,18-19,154970.0
210,1999,20-24,422820.0
211,1999,25-29,305330.0
212,1999,30-34,183830.0
213,1999,35-39,111830.0
214,1999,<15,8890.0
215,1999,>40,37280.0
216,2000,15-17,3315.769230769231
217,2000,18-19,5856.346153846154
218,2000,20-24,16501.346153846152
219,2000,25-29,11546.153846153846
220,2000,30-34,7150.7692307692305
221,2000,35-39,4240.961538461538
222,2000,<15,334.61538461538464
223,2000,>40,1431.7307692307693
224,2001,15-17,80900.0
225,2001,18-19,145690.0
226,2001,20-24,430190.0
227,2001,25-29,290190.0
228,2001,30-34,188720.0
229,2001,35-39,108510.0
230,2001,<15,8220.0
231,2001,>40,38580.0
232,2002,15-17,77810.0
233,2002,18-19,136700.0
234,2002,20-24,423320.0
235,2002,25-29,286710.0
236,2002,30-34,189270.0
237,2002,35-39,107160.0
238,2002,<15,7800.0
239,2002,>40,40220.0
240,2003,15-17,76390.0
241,2003,18-19,133190.0
242,2003,20-24,418170.0
243,2003,25-29,283250.0
244,2003,30-34,186400.0
245,2003,35-39,105170.0
246,2003,<15,7710.0
247,2003,>40,39720.0
248,2004,15-17,72690.0
249,2004,18-19,130660.0
250,2004,20-24,405760.0
251,2004,25-29,282260.0
252,2004,30-34,180720.0
253,2004,35-39,103410.0
254,2004,<15,7210.0
255,2004,>40,39380.0
256,2005,15-17,2775.769230769231
257,2005,18-19,4865.0
258,2005,20-24,15162.692307692309
259,2005,25-29,10906.153846153846
260,2005,30-34,6737.115384615385
261,2005,35-39,4041.5384615384614
262,2005,<15,266.34615384615387
263,2005,>40,1497.8846153846155
264,2006,15-17,2817.1153846153848
265,2006,18-19,4967.884615384615
266,2006,20-24,15364.23076923077
267,2006,25-29,11269.807692307691
